id,datesubmit,submitApplication,accounts_id,is_copywriter,is_editor,is_translator,copywriter,editor,translator,is_validated,article,copywriterfinal,editorfinal,translatorfinal,remarks,progress,jobaccepted,dateaccepted,validationDate
1001,04/08/2021 10:44,TRUE,1001,FALSE,FALSE,FALSE,52,62,66,TRUE,100,88,91,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,28/10/2021 14:24,16/08/2021 13:01
1002,22/05/2021 14:30,TRUE,1002,TRUE,FALSE,FALSE,68,51,57,TRUE,96,93,91,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,07/06/2021 14:09,17/08/2021 21:59
1003,26/03/2021 2:59,TRUE,1003,FALSE,TRUE,TRUE,62,50,54,TRUE,94,76,95,87,You have passed the following jobs,You have passed the following jobs,Copy Writer,25/06/2021 17:20,13/03/2021 7:04
1004,16/07/2021 13:13,TRUE,1004,TRUE,FALSE,TRUE,65,50,66,TRUE,94,91,75,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,29/03/2021 10:24,11/06/2021 19:44
1005,11/08/2021 14:13,TRUE,1005,FALSE,TRUE,FALSE,67,51,51,TRUE,88,94,89,83,You have passed the following jobs,You have passed the following jobs,Copy Writer,21/04/2021 22:31,12/02/2021 1:56
1006,27/03/2021 15:44,TRUE,1006,TRUE,FALSE,TRUE,67,57,58,TRUE,90,88,93,89,You have passed the following jobs,You have passed the following jobs,Copy Writer,16/06/2021 16:20,04/08/2021 18:40
1007,23/09/2021 9:11,TRUE,1007,FALSE,TRUE,FALSE,69,68,70,TRUE,97,85,94,96,You have passed the following jobs,You have passed the following jobs,Copy Writer,25/10/2021 15:15,15/02/2021 18:40
1008,27/08/2021 16:36,TRUE,1008,TRUE,TRUE,FALSE,63,55,56,TRUE,87,93,92,95,You have passed the following jobs,You have passed the following jobs,Copy Writer,29/04/2021 16:20,25/10/2021 8:05
1009,01/07/2021 21:04,TRUE,1009,TRUE,TRUE,FALSE,68,62,66,TRUE,86,85,85,91,You have passed the following jobs,You have passed the following jobs,Copy Writer,22/04/2021 4:56,09/08/2021 13:28
1010,01/09/2021 11:09,TRUE,1010,TRUE,TRUE,FALSE,65,68,63,TRUE,83,76,87,94,You have passed the following jobs,You have passed the following jobs,Copy Writer,06/06/2021 15:54,28/07/2021 14:52
1011,26/04/2021 10:51,TRUE,1011,TRUE,FALSE,TRUE,66,65,58,TRUE,82,96,83,92,You have passed the following jobs,You have passed the following jobs,Copy Writer,21/04/2021 6:10,05/06/2021 3:28
